Intensity 31_200_PS Carb_10	Intensity 32_200_PS Carb_100	Intensity 33_small_Citrate_10	Intensity 34_large_Citrate_10	Intensity 35_small_PEI_10	Intensity 36_large_PEI_10	Intensity 37_large_PVP@AU_100	Intensity 38_small_PVP@AU_10	Intensity 39_small_PVP@AU_100	Intensity 40_large_Citrate_100	Intensity 41_large_PEI_100	Intensity 42_small_Citrate_100	Intensity 43_small_PEI_100	Intensity 44_large_PVP@AU_10	Intensity 45_large_PEG@Au_100	Intensity 46_large_PEI@Au_100	Intensity 47_small_PEI@Au_100	Intensity 48_200_PS Carb@ PEG_100	Intensity 49_200_PS Carb@ PEG_100	Intensity 50_FBS	Intensity 51_SPQC1	Intensity 52_SPQC2	Intensity 53_SPQC3	iBAQ 31_200_PS Carb_10	iBAQ 32_200_PS Carb_100	iBAQ 33_small_Citrate_10	iBAQ 34_large_Citrate_10	iBAQ 35_small_PEI_10	iBAQ 36_large_PEI_10	iBAQ 37_large_PVP@AU_100	iBAQ 38_small_PVP@AU_10	iBAQ 39_small_PVP@AU_100	iBAQ 40_large_Citrate_100	iBAQ 41_large_PEI_100	iBAQ 42_small_Citrate_100	iBAQ 43_small_PEI_100	iBAQ 44_large_PVP@AU_10	iBAQ 45_large_PEG@Au_100	iBAQ 46_large_PEI@Au_100	iBAQ 47_small_PEI@Au_100	iBAQ 48_200_PS Carb@ PEG_100	iBAQ 49_200_PS Carb@ PEG_100	iBAQ 50_FBS	iBAQ 51_SPQC1	iBAQ 52_SPQC2	iBAQ 53_SPQC3	Top3 31_200_PS Carb_10	Top3 32_200_PS Carb_100	Top3 33_small_Citrate_10	Top3 34_large_Citrate_10	Top3 35_small_PEI_10	Top3 36_large_PEI_10	Top3 37_large_PVP@AU_100	Top3 38_small_PVP@AU_10	Top3 39_small_PVP@AU_100	Top3 40_large_Citrate_100	Top3 41_large_PEI_100	Top3 42_small_Citrate_100	Top3 43_small_PEI_100	Top3 44_large_PVP@AU_10	Top3 45_large_PEG@Au_100	Top3 46_large_PEI@Au_100	Top3 47_small_PEI@Au_100	Top3 48_200_PS Carb@ PEG_100	Top3 49_200_PS Carb@ PEG_100	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	Species	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	T
8655300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8655300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	O18738
1582300	1401400	0	0	1777700	0	33132000	0	60228000	64832000	0	5026500	13541000	0	47624000	0	0	0	0	0	6814100	5395000	4357700	68796	60930	0	0	77289	0	1440500	0	2039500	1332600	0	218540	588730	0	1718700	0	0	0	0	0	296270	234570	189470	2988200	2646600	0	0	3357200	0	34339000	0	47759000	64832000	0	9492800	5932200	0	24649000	0	0	0	0	0	12869000	10189000	8229700	Bos taurus				9913	O18739
15843000	1893700	0	0	65817000	60539000	0	0	0	0	229170000	7320700	171210000	0	1966700	7652900	130980000	0	0	0	21253000	24150000	24904000	275290	189370	0	0	2435900	1526700	0	0	0	0	5118000	732070	6305500	0	196670	765290	2733300	0	0	0	391990	821490	496070	17811000	2495300	0	0	55971000	57630000	0	0	0	0	229170000	9646700	163950000	0	2591600	10084000	125590000	0	0	0	24446000	23134000	28645000	Bos taurus				9913	O18979
727430016	138760000	3211000064	3481700096	1244700032	942320000	2413199872	614929984	2196900096	2993900032	3582200064	1813399936	2572199936	423200000	1274400000	124860000	703080000	53422000	135110000	4465999872	2746099968	1794099968	2714299904	30132000	4232300	99478000	105760000	35882000	29993000	80493000	18611000	63461000	86949000	108360000	117930000	91492000	14799000	60636000	5367200	29419000	1460600	4130300	160410000	80862000	75429000	100430000	412920000	79671000	1740899968	1807299968	625510016	552710016	1046699968	320289984	1195399936	1505500032	1865299968	898470016	1533399936	279609984	598889984	54942000	445729984	34636000	90132000	2041100032	1272099968	789169984	1282000000	Bos taurus				9913	O46375
0	0	0	0	23848000	19061000	0	0	0	0	5122000	0	8765200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268800	429760	0	0	0	0	465630	0	290160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19546000	14604000	0	0	0	0	7251600	0	9981600	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	O46414
0	0	5205700	0	74704000	81950000	0	0	0	0	17723000	0	29980000	2008700	0	0	0	0	0	5950300	9154200	9562500	7815500	0	0	473250	0	3246900	2715800	0	0	0	0	1611200	0	1146900	182610	0	0	0	0	0	540940	832200	869320	710500	0	0	8270400	0	52213000	54343000	0	0	0	0	28157000	0	36602000	3191200	0	0	0	0	0	9453300	14543000	15192000	12416000	Bos taurus				9913	O46415
3735500	2843400	0	0	7449700	0	0	7759000	0	0	0	0	0	10890000	0	0	0	0	0	0	0	0	0	177880	135400	0	0	354750	0	0	369480	0	0	0	0	0	518580	0	0	0	0	0	0	0	0	0	3735500	2843400	0	0	7449700	0	0	7759000	0	0	0	0	0	10890000	0	0	0	0	0	0	0	0	0	Bos taurus				9913	O46470
10065000	0	37654000	36448000	6615800	0	450840000	64472000	866600000	485200000	0	117000000	8335200	42818000	120910000	0	0	0	0	0	98806000	140400000	118280000	1437800	0	371760	504890	945110	0	13645000	962740	32272000	20204000	0	1381100	1190700	350800	1672200	0	0	0	0	0	1384500	2623500	1176100	18173000	0	35052000	32914000	14961000	0	355329984	57733000	640689984	343769984	0	107330000	18850000	40362000	109200000	0	0	0	0	0	89115000	122040000	110050000	Bos taurus				9913	O62644
0	0	0	0	167740000	288569984	0	0	6133000	0	1336800000	24034000	569209984	2291700	0	34207000	749129984	0	0	0	81938000	76543000	81039000	0	0	0	0	20332000	35023000	0	0	766630	0	161960000	3004300	71152000	286470	0	4275900	90800000	0	0	0	10242000	9567900	10130000	0	0	0	0	181850000	280190016	0	0	9254800	0	1322200064	26870000	636369984	3458300	0	33972000	726400000	0	0	0	91606000	85574000	90601000	Bos taurus				9913	O77742
0	0	0	0	0	0	0	17114000	0	0	0	0	0	16995000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395380	0	0	0	0	0	279570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7659200	0	0	0	0	0	9485900	0	0	0	0	0	0	0	0	0	Bos taurus				9913	O77783
